cluster,columna,ngrama,frecuencia
2.0,essay3_tokens,people tell look like,10
2.0,essay3_tokens,people usually notice hair,9
2.0,essay3_tokens,things come small packages,9
2.0,essay4_tokens,eternal sunshine spotless mind,637
2.0,essay4_tokens,red hot chili peppers,230
2.0,essay4_tokens,http www youtube com,183
2.0,essay4_tokens,www youtube com watch,179
2.0,essay4_tokens,fear loathing las vegas,151
2.0,essay4_tokens,wet hot american summer,116
2.0,essay4_tokens,extremely loud incredibly close,105
2.0,essay4_tokens,scott pilgrim vs world,95
2.0,essay4_tokens,heartbreaking work staggering genius,90
2.0,essay4_tokens,40 year old virgin,86
2.0,essay5_tokens,family friends good food,61
2.0,essay5_tokens,family friends cell phone,34
2.0,essay5_tokens,friends family good food,31
2.0,essay5_tokens,family friends food water,24
2.0,essay5_tokens,air water food shelter,22
2.0,essay5_tokens,good music good food,18
2.0,essay5_tokens,love love love love,18
2.0,essay5_tokens,particular order family friends,17
2.0,essay5_tokens,good food good friends,16
2.0,essay5_tokens,family friends food music,16
2.0,essay6_tokens,spend lot time thinking,383
2.0,essay6_tokens,make world better place,104
2.0,essay6_tokens,http www youtube com,37
2.0,essay6_tokens,www youtube com watch,37
2.0,essay6_tokens,lot time thinking future,36
2.0,essay6_tokens,spend alot time thinking,18
2.0,essay6_tokens,lot time thinking life,15
2.0,essay6_tokens,lot time thinking things,12
2.0,essay6_tokens,lot time thinking people,12
2.0,essay6_tokens,actually spend lot time,11
2.0,essay7_tokens,thing typical friday night,51
2.0,essay7_tokens,really typical friday night,39
2.0,essay7_tokens,happy hour dinner friends,39
2.0,essay7_tokens,hanging friends watching movie,29
2.0,essay7_tokens,dinner friends watching movie,23
2.0,essay7_tokens,watching movie reading book,22
2.0,essay7_tokens,watching movie hanging friends,22
2.0,essay7_tokens,friends home watching movie,21
2.0,essay7_tokens,meeting friends dinner drinks,20
2.0,essay7_tokens,staying home watching movie,20
2.0,essay8_tokens,blah blah blah blah,109
2.0,essay8_tokens,private thing willing admit,52
2.0,essay8_tokens,putting complete profile putting,30
2.0,essay8_tokens,complete profile putting complete,30
2.0,essay8_tokens,profile putting complete profile,30
2.0,essay8_tokens,http www youtube com,25
2.0,essay8_tokens,www youtube com watch,25
2.0,essay8_tokens,pretty open book ask,12
2.0,essay8_tokens,spend lot time thinking,11
2.0,essay8_tokens,ha ha ha ha,10
2.0,essay9_tokens,http www youtube com,72
2.0,essay9_tokens,www youtube com watch,71
2.0,essay9_tokens,looking long term relationship,47
2.0,essay9_tokens,want make new friend,42
2.0,essay9_tokens,oma woi mweiof moiwa,35
2.0,essay9_tokens,woi mweiof moiwa emfoi,35
2.0,essay9_tokens,mweiof moiwa emfoi mafoiawm,35
2.0,essay9_tokens,moiwa emfoi mafoiawm ewoe,35
2.0,essay9_tokens,like try new things,30
2.0,essay9_tokens,emfoi mafoiawm ewoe moewaaoicmw,26
3.0,essay0_tokens,work hard play hard,38
3.0,essay0_tokens,born raised san francisco,35
3.0,essay0_tokens,san francisco bay area,33
3.0,essay0_tokens,enjoy meeting new people,29
3.0,essay0_tokens,looking long term relationship,29
3.0,essay0_tokens,http www youtube com,29
3.0,essay0_tokens,www youtube com watch,29
3.0,essay0_tokens,spending time friends family,26
3.0,essay0_tokens,ve lived san francisco,25
3.0,essay0_tokens,ve lived bay area,24
3.0,essay1_tokens,make world better place,40
3.0,essay1_tokens,spending time family friends,31
3.0,essay1_tokens,work hard play hard,22
3.0,essay1_tokens,spending time friends family,22
3.0,essay1_tokens,http www youtube com,17
3.0,essay1_tokens,www youtube com watch,17
3.0,essay1_tokens,making world better place,15
3.0,essay1_tokens,trying make world better,13
3.0,essay1_tokens,spend time family friends,11
3.0,essay1_tokens,spend time friends family,10
3.0,essay2_tokens,making people feel comfortable,79
3.0,essay2_tokens,making people feel ease,34
3.0,essay2_tokens,making people feel good,24
3.0,essay2_tokens,good making people laugh,20
3.0,essay2_tokens,making people laugh making,20
3.0,essay2_tokens,good making people feel,16
3.0,essay2_tokens,really good making people,15
3.0,essay2_tokens,making people laugh cooking,13
3.0,essay2_tokens,making people laugh feel,13
3.0,essay2_tokens,cooking making people laugh,12
3.0,essay3_tokens,thing people usually notice,16
3.0,essay3_tokens,people usually notice smile,11
3.0,essay3_tokens,thing people notice smile,9
3.0,essay3_tokens,people notice eyes smile,9
3.0,essay3_tokens,things people usually notice,8
3.0,essay3_tokens,ve told nice smile,8
3.0,essay3_tokens,ve told look like,7
3.0,essay3_tokens,make people feel comfortable,7
3.0,essay3_tokens,look lot younger age,7
3.0,essay3_tokens,smile eyes sense humor,6
3.0,essay4_tokens,eternal sunshine spotless mind,128
3.0,essay4_tokens,http www youtube com,79
3.0,essay4_tokens,www youtube com watch,79
3.0,essay4_tokens,red hot chili peppers,37
3.0,essay4_tokens,monty python holy grail,34
3.0,essay4_tokens,crouching tiger hidden dragon,32
3.0,essay4_tokens,fear loathing las vegas,31
3.0,essay4_tokens,zen art motorcycle maintenance,27
3.0,essay4_tokens,buena vista social club,23
3.0,essay4_tokens,amazing adventures kavalier clay,22
3.0,essay5_tokens,good food good wine,19
3.0,essay5_tokens,good friends good food,16
3.0,essay5_tokens,air water food shelter,16
3.0,essay5_tokens,family friends good food,14
3.0,essay5_tokens,friends good food good,10
3.0,essay5_tokens,friends family good food,10
3.0,essay5_tokens,good food good friends,9
3.0,essay5_tokens,air water food sleep,7
3.0,essay5_tokens,family friends fresh air,7
3.0,essay5_tokens,good friends family good,7
3.0,essay6_tokens,spend lot time thinking,170
3.0,essay6_tokens,make world better place,53
3.0,essay6_tokens,making world better place,11
3.0,essay6_tokens,spend alot time thinking,10
3.0,essay6_tokens,http www youtube com,10
3.0,essay6_tokens,www youtube com watch,10
3.0,essay6_tokens,lot time thinking thing,7
3.0,essay6_tokens,lot time thinking things,7
3.0,essay6_tokens,spending lot time thinking,6
3.0,essay6_tokens,lot time thinking life,6
3.0,essay7_tokens,thing typical friday night,28
3.0,essay7_tokens,really typical friday night,15
3.0,essay7_tokens,happy hour dinner friends,13
3.0,essay7_tokens,friends listening live music,12
3.0,essay7_tokens,dinner friends watching movie,11
3.0,essay7_tokens,reading book watching movie,9
3.0,essay7_tokens,home reading watching movie,9
3.0,essay7_tokens,dinner friends relaxing home,8
3.0,essay7_tokens,relaxing long work week,8
3.0,essay7_tokens,hanging friends watching movie,8
3.0,essay8_tokens,private thing willing admit,34
3.0,essay8_tokens,pretty open book ask,7
3.0,essay8_tokens,private things willing admit,6
3.0,essay8_tokens,willing admit private things,5
3.0,essay8_tokens,ll tell ya later,5
3.0,essay8_tokens,private things public forum,4
3.0,essay8_tokens,spend lot time thinking,4
3.0,essay8_tokens,admit private things publicly,3
3.0,essay8_tokens,permission use profile pictures,3
3.0,essay8_tokens,use profile pictures form,3
3.0,essay9_tokens,institutions individuals using site,31
3.0,essay9_tokens,individuals using site associated,31
3.0,essay9_tokens,using site associated sites,31
3.0,essay9_tokens,form forum current future,28
3.0,essay9_tokens,considered violation privacy subject,28
3.0,essay9_tokens,violation privacy subject legal,28
3.0,essay9_tokens,looking long term relationship,28
3.0,essay9_tokens,profile pictures form forum,27
3.0,essay9_tokens,pictures form forum current,27
3.0,essay9_tokens,future considered violation privacy,27
