Cluster,Top,Columna,4grama,Frecuencia
2,8,essay1_tokens,going school full time,18
2,9,essay1_tokens,working hard playing hard,16
2,10,essay1_tokens,go back school get,13
2,1,essay2_tokens,making people feel comfortable,103
2,2,essay2_tokens,'m also really good,65
2,3,essay2_tokens,making people laugh making,47
2,4,essay2_tokens,good making people laugh,44
2,5,essay2_tokens,-- -- -- --,36
2,6,essay2_tokens,'m also pretty good,35
2,7,essay2_tokens,'m really good making,33
2,8,essay2_tokens,think 'm pretty good,30
2,9,essay2_tokens,really good making people,29
2,10,essay2_tokens,like think 'm good,29
2,1,essay3_tokens,first thing people notice,62
2,2,essay3_tokens,thing people usually notice,26
2,3,essay3_tokens,first thing people usually,24
2,4,essay3_tokens,-- -- -- --,23
2,5,essay3_tokens,first things people notice,16
2,6,essay3_tokens,first things people usually,15
2,7,essay3_tokens,things people usually notice,13
2,8,essay3_tokens,people usually notice smile,13
2,9,essay3_tokens,thing people notice smile,12
2,10,essay3_tokens,people usually notice 'm,11
2,1,essay4_tokens,eternal sunshine spotless mind,360
2,2,essay4_tokens,-- -- -- --,294
2,3,essay4_tokens,'s always sunny philadelphia,136
2,4,essay4_tokens,red hot chili peppers,114
2,5,essay4_tokens,one hundred years solitude,85
2,6,essay4_tokens,n't watch much tv,85
2,7,essay4_tokens,wet hot american summer,80
2,8,essay4_tokens,talk pretty one day,77
2,9,essay4_tokens,fear loathing las vegas,74
2,10,essay4_tokens,daily show colbert report,73
2,1,essay5_tokens,family 2. friends 3.,120
2,2,essay5_tokens,1. family 2. friends,119
2,3,essay5_tokens,1. family friends 2.,46
2,4,essay5_tokens,ca n't live without,39
2,5,essay5_tokens,could n't live without,33
2,6,essay5_tokens,things could never without,32
2,7,essay5_tokens,1 family 2 friends,30
2,8,essay5_tokens,family 2 friends 3,27
2,9,essay5_tokens,family friends good food,20
2,10,essay5_tokens,1 family friends 2,20
2,1,essay6_tokens,spend lot time thinking,212
2,2,essay6_tokens,make world better place,58
2,3,essay6_tokens,-- -- -- --,53
2,4,essay6_tokens,also spend lot time,37
2,5,essay6_tokens,'m going eat next,35
2,6,essay6_tokens,spend much time thinking,22
2,7,essay6_tokens,lot time thinking future,17
2,8,essay6_tokens,'m going travel next,15
2,9,essay6_tokens,'d like travel next,14
2,10,essay6_tokens,spend alot time thinking,13
2,1,essay7_tokens,n't typical friday night,31
2,2,essay7_tokens,happy hour dinner friends,27
2,3,essay7_tokens,`` typical '' friday,23
2,4,essay7_tokens,thing typical friday night,20
2,5,essay7_tokens,really typical friday night,20
2,6,essay7_tokens,typical friday night could,18
2,7,essay7_tokens,friends trying new restaurant,18
2,8,essay7_tokens,n't really typical friday,18
2,9,essay7_tokens,watching movie hanging friends,17
2,10,essay7_tokens,going see live music,16
2,1,essay8_tokens,thing 'm willing admit,24
2,2,essay8_tokens,private thing 'm willing,23
2,3,essay8_tokens,would n't like know,20
2,4,essay8_tokens,pretty much open book,20
2,5,essay8_tokens,would n't private would,17
2,6,essay8_tokens,ca n't think anything,14
2,7,essay8_tokens,would n't private anymore,12
2,8,essay8_tokens,'ll get know find,11
2,9,essay8_tokens,'m pretty much open,11
2,10,essay8_tokens,'m open book ask,9
2,1,essay9_tokens,-- -- -- --,157
2,2,essay9_tokens,want get know better,46
2,3,essay9_tokens,think 'd get along,46
2,4,essay9_tokens,would like get know,39
2,5,essay9_tokens,think would get along,38
2,6,essay9_tokens,like get know better,32
2,7,essay9_tokens,'d like get know,31
2,8,essay9_tokens,'re interested getting know,24
2,9,essay9_tokens,n't take life seriously,22
2,10,essay9_tokens,think might get along,21
0,1,essay0_tokens,-- -- -- --,380
0,2,essay0_tokens,looking meet new people,60
0,3,essay0_tokens,love meeting new people,59
0,4,essay0_tokens,work hard play hard,57
0,5,essay0_tokens,born raised san francisco,41
0,6,essay0_tokens,__ __ __ __,40
0,7,essay0_tokens,born raised bay area,39
0,8,essay0_tokens,enjoy meeting new people,38
0,9,essay0_tokens,moved back bay area,37
0,10,essay0_tokens,love try new things,35
0,1,essay1_tokens,make world better place,40
0,2,essay1_tokens,spending time family friends,36
0,3,essay1_tokens,work hard play hard,34
0,4,essay1_tokens,spending time friends family,29
0,5,essay1_tokens,-- -- -- --,22
0,6,essay1_tokens,trying make world better,17
0,7,essay1_tokens,life one day time,17
0,8,essay1_tokens,spend time family friends,16
0,9,essay1_tokens,moved back bay area,15
0,10,essay1_tokens,taking one day time,14
0,1,essay2_tokens,making people feel comfortable,109
0,2,essay2_tokens,'m also really good,62
0,3,essay2_tokens,making people laugh making,39
0,4,essay2_tokens,making people feel good,31
0,5,essay2_tokens,'m really good making,28
0,6,essay2_tokens,good making people laugh,27
0,7,essay2_tokens,'m also pretty good,25
0,8,essay2_tokens,really good making people,24
0,9,essay2_tokens,making people laugh 'm,22
0,10,essay2_tokens,-- -- -- --,22
0,1,essay3_tokens,first thing people notice,56
0,2,essay3_tokens,thing people usually notice,22
0,3,essay3_tokens,first thing people usually,20
0,4,essay3_tokens,people usually notice smile,17
0,5,essay3_tokens,first things people usually,12
0,6,essay3_tokens,things people usually notice,11
0,7,essay3_tokens,people usually notice 'm,11
0,8,essay3_tokens,first things people notice,10
0,9,essay3_tokens,thing people notice smile,9
0,10,essay3_tokens,people usually notice eyes,9
0,1,essay4_tokens,eternal sunshine spotless mind,273
0,2,essay4_tokens,-- -- -- --,123
0,3,essay4_tokens,n't watch much tv,76
0,4,essay4_tokens,daily show colbert report,75
0,5,essay4_tokens,'s always sunny philadelphia,75
0,6,essay4_tokens,red hot chili peppers,74
0,7,essay4_tokens,one hundred years solitude,65
0,8,essay4_tokens,talk pretty one day,53
0,9,essay4_tokens,time traveler 's wife,53
0,10,essay4_tokens,brief wondrous life oscar,48
0,1,essay5_tokens,1. family 2. friends,60
0,2,essay5_tokens,family 2. friends 3.,59
0,3,essay5_tokens,ca n't live without,35
0,4,essay5_tokens,things could never without,35
0,5,essay5_tokens,1. family friends 2.,31
0,6,essay5_tokens,1. friends family 2.,27
0,7,essay5_tokens,family friends good food,24
0,8,essay5_tokens,1 family 2 friends,21
0,9,essay5_tokens,family 2 friends 3,21
0,10,essay5_tokens,good night 's sleep,19
0,1,essay6_tokens,spend lot time thinking,182
0,2,essay6_tokens,make world better place,64
0,3,essay6_tokens,also spend lot time,34
0,4,essay6_tokens,'m going eat next,29
0,5,essay6_tokens,'m going travel next,16
0,6,essay6_tokens,spend much time thinking,14
0,7,essay6_tokens,places 'd like travel,12
0,8,essay6_tokens,'d like travel next,11
0,9,essay6_tokens,also spend time thinking,10
0,10,essay6_tokens,lot time thinking future,10
0,1,essay7_tokens,n't typical friday night,34
0,2,essay7_tokens,`` typical '' friday,33
0,3,essay7_tokens,thing typical friday night,28
0,4,essay7_tokens,typical '' friday night,25
0,5,essay7_tokens,happy hour dinner friends,16
0,6,essay7_tokens,typical friday night ...,15
0,7,essay7_tokens,typical friday night 'm,14
0,8,essay7_tokens,watching movie reading book,14
0,9,essay7_tokens,reading book watching movie,13
0,10,essay7_tokens,dinner friends watching movie,13
0,1,essay8_tokens,blah blah blah blah,109
0,2,essay8_tokens,private thing 'm willing,22
0,3,essay8_tokens,thing 'm willing admit,21
0,4,essay8_tokens,would n't private would,16
0,5,essay8_tokens,ca n't think anything,13
0,6,essay8_tokens,'m pretty much open,13
0,7,essay8_tokens,pretty much open book,13
0,8,essay8_tokens,would n't like know,10
0,9,essay8_tokens,spend lot time thinking,8
0,10,essay8_tokens,'m pretty open book,8
0,1,essay9_tokens,would like get know,44
0,2,essay9_tokens,oma woi mweiof moiwa,35
0,3,essay9_tokens,woi mweiof moiwa emfoi,35
0,4,essay9_tokens,mweiof moiwa emfoi mafoiawm,35
0,5,essay9_tokens,moiwa emfoi mafoiawm ewoe,35
0,6,essay9_tokens,think 'd get along,34
0,7,essay9_tokens,want get know better,28
0,8,essay9_tokens,'d like get know,27
0,9,essay9_tokens,emfoi mafoiawm ewoe moewaaoicmw,26
0,10,essay9_tokens,mafoiawm ewoe moewaaoicmw oma,26
